filename,x1,x2,y1,y2,annotation_class
C06_B108_S21.tif,2488,3800,1544,2856,0
C06_B108_S21.tif,71136,72448,37352,38664,0
C06_B108_S21.tif,72112,73424,38304,39616,0
C06_B108_S21.tif,73720,75032,39120,40432,0
C06_B108_S21.tif,69016,70328,41056,42368,0
C06_B108_S21.tif,79080,80392,28664,29976,0
C06_B108_S21.tif,81200,82512,32488,33800,0
C06_B108_S21.tif,75416,76728,26272,27584,0
C06_B108_S21.tif,76280,77592,23856,25168,0
C06_B108_S21.tif,73064,74376,43392,44704,0
C06_B108_S21.tif,62840,64152,39512,40824,0
C06_B108_S21.tif,63968,65280,37064,38376,0
C06_B108_S21.tif,65480,66792,34480,35792,0
C06_B108_S21.tif,65456,66768,33248,34560,0
C06_B108_S21.tif,72464,73776,30944,32256,0
C06_B108_S21.tif,71800,73112,35912,37224,0
C06_B108_S21.tif,73088,74400,37000,38312,0
C06_B108_S21.tif,70128,71440,35992,37304,0
C06_B108_S21.tif,68080,69392,36248,37560,0
C06_B108_S21.tif,62384,63696,29728,31040,1
C06_B108_S21.tif,64144,65456,27576,28888,1
C06_B108_S21.tif,64512,65824,29648,30960,1
C06_B108_S21.tif,69344,70656,27288,28600,1
C06_B108_S21.tif,76936,78248,36648,37960,1
C06_B108_S21.tif,79512,80824,40672,41984,1
C06_B108_S21.tif,79648,80960,43136,44448,1
C06_B108_S21.tif,76960,78272,38664,39976,1
C06_B108_S21.tif,60480,61792,37552,38864,1
C06_B108_S21.tif,66328,67640,40616,41928,1
C06_B108_S21.tif,70488,71800,24880,26192,0
C06_B108_S21.tif,6592,7904,34424,35736,0
C06_B108_S21.tif,9448,10760,29648,30960,0
C06_B108_S21.tif,6968,8280,27152,28464,1
C06_B108_S21.tif,5520,6832,30128,31440,1
C06_B108_S21.tif,13672,14984,23144,24456,1
C06_B108_S21.tif,9744,11056,35152,36464,1
C06_B108_S21.tif,21328,22640,36304,37616,1
C06_B108_S21.tif,17152,18464,27520,28832,0
C06_B108_S21.tif,13056,14368,25400,26712,1
C06_B108_S21.tif,22808,24120,39480,40792,1
C06_B108_S21.tif,21224,22536,33336,34648,1
C06_B108_S21.tif,120936,122248,35728,37040,0
