filename,x1,x2,y1,y2,annotation_class
C03_B091_S03.tif,21272,22584,43792,45104,0
C03_B091_S03.tif,19272,20584,43576,44888,0
C03_B091_S03.tif,18384,19696,39560,40872,0
C03_B091_S03.tif,13520,14832,38856,40168,0
C03_B091_S03.tif,14368,15680,40320,41632,0
C03_B091_S03.tif,32328,33640,48440,49752,0
C03_B091_S03.tif,43192,44504,40736,42048,1
C03_B091_S03.tif,44276,45588,39184,40496,0
C03_B091_S03.tif,32600,33912,41648,42960,0
C03_B091_S03.tif,27540,28852,44612,45924,0
C03_B091_S03.tif,28572,29884,46592,47904,0
C03_B091_S03.tif,30884,32196,46352,47664,0
C03_B091_S03.tif,31012,32324,27996,29308,0
C03_B091_S03.tif,28828,30140,27884,29196,0
C03_B091_S03.tif,130944,132256,58112,59424,0
C03_B091_S03.tif,127544,128856,55736,57048,0
C03_B091_S03.tif,132024,133336,52888,54200,0
C03_B091_S03.tif,132272,133584,48368,49680,0
C03_B091_S03.tif,147672,148984,45432,46744,0
C03_B091_S03.tif,152792,154104,31992,33304,0
C03_B091_S03.tif,158160,159472,28848,30160,0
C03_B091_S03.tif,119636,120948,50276,51588,0
C03_B091_S03.tif,118288,119600,45276,46588,0
C03_B091_S03.tif,118956,120268,43632,44944,0
C03_B091_S03.tif,113620,114932,45976,47288,0
C03_B091_S03.tif,107616,108928,49052,50364,0
C03_B091_S03.tif,134792,136104,50616,51928,0
C03_B091_S03.tif,70680,71992,40992,42304,0
C03_B091_S03.tif,73256,74568,38440,39752,0
C03_B091_S03.tif,77576,78888,60904,62216,0
C03_B091_S03.tif,64472,65784,47184,48496,0
C03_B091_S03.tif,64320,65632,53784,55096,0
C03_B091_S03.tif,58472,59784,53992,55304,0
C03_B091_S03.tif,54712,56024,53176,54488,0
C03_B091_S03.tif,54880,56192,55480,56792,0
C03_B091_S03.tif,57344,58656,43024,44336,0
C03_B091_S03.tif,60396,61708,41448,42760,0
C03_B091_S03.tif,64004,65316,49308,50620,0
C03_B091_S03.tif,68196,69508,45744,47056,0
C03_B091_S03.tif,68128,69440,43892,45204,0
C03_B091_S03.tif,60284,61596,47576,48888,0
C03_B091_S03.tif,151192,152504,47564,48876,0
C03_B091_S03.tif,158288,159600,49296,50608,0
C03_B091_S03.tif,157272,158584,51020,52332,0
